x	y	w	h	content	
1878	1362	67	15	invites	
1952	1365	21	11	us	
1983	1362	18	14	to	
2010	1363	56	13	come,	
535	1380	41	17	And	
586	1382	94	21	crowding	
687	1382	30	16	the	
726	1385	41	18	gates	
769	1387	27	11	of	
799	1382	48	16	fair	
856	1383	50	18	Zion,	
1176	1384	49	17	With	
1236	1384	62	17	hearts	
1308	1386	36	16	and	
1355	1385	59	17	hands	
1424	1386	66	21	widely	
1500	1385	98	19	extended,	
1748	1385	26	16	To	
1783	1385	55	16	share	
1847	1386	17	15	in	
1875	1384	28	16	his	
1913	1384	79	21	glorious	
2000	1381	86	22	kingdom,	
534	1405	26	16	To	
570	1406	43	15	wait	
622	1410	32	12	our	
663	1406	68	16	arrival	
741	1408	18	14	at	
768	1405	61	17	home.	
1201	1409	25	16	To	
1237	1409	77	16	welcome	
1318	1409	46	17	his	
1374	1410	96	16	ransom'd	
1480	1415	44	11	ones	
1535	1409	61	16	home.	
1769	1408	27	16	And	
1799	1408	51	16	rest	
1853	1409	32	16	in	
1895	1407	28	17	his	
1931	1407	64	17	bésom	
2004	1408	18	15	at	
2031	1405	55	16	home.	
613	1440	62	17	These	
685	1441	60	16	words	
754	1446	48	11	were	
813	1442	100	20	composed	
922	1443	24	20	by	
956	1442	45	17	Rey.	
1014	1444	19	16	S.	
1046	1443	21	17	B.	
1077	1444	76	21	Sawyer	
1164	1449	23	11	on	
1199	1444	30	17	the	
1239	1445	23	16	day	
1263	1445	40	21	of	
1314	1445	28	16	his	
1350	1445	63	19	death,	
1425	1445	42	17	with	
1478	1447	73	19	request	
1562	1444	37	16	that	
1611	1443	34	17	this	
1655	1446	43	13	tune	
1708	1443	66	16	should	
1784	1443	22	16	be	
1817	1443	103	21	published.	
445	1498	25	16	The	
473	1499	41	15	air	
526	1498	19	16	of	
556	1498	35	17	this	
602	1501	42	14	tune	
654	1500	15	15	is	
679	1505	34	10	one	
723	1501	18	15	of	
751	1499	30	17	the	
791	1500	29	16	old	
830	1501	80	15	national	
920	1501	89	17	melodies	
1019	1502	18	16	of	
1048	1502	92	19	America,	
1151	1503	36	16	and	
1195	1504	16	15	in	
1222	1504	23	15	its	
1255	1504	77	16	Seculor	
1344	1504	47	16	form	
1401	1505	12	15	it	
1424	1509	37	11	was	
1473	1502	59	18	called	
1543	1501	47	17	‘‘Old	
1600	1501	62	16	Rosen	
1674	1500	30	16	the	
1715	1499	65	18	Bow.”’	
1807	1501	14	16	It	
1833	1501	43	16	took	
1885	1502	23	15	its	
1917	1502	74	20	present	
2004	1503	57	14	name,	
2071	1496	51	27	Sal:	
2134	1523	2	2	i	
398	1527	43	16	yers	
455	1520	62	19	Exit,”	
534	1522	47	16	from	
596	1522	46	17	Rey.	
658	1523	20	16	S.	
712	1536	3	3	B.	
727	1524	82	20	Sawyer.	
835	1524	39	16	The	
883	1525	48	15	words	
934	1525	35	16	of	
980	1525	29	16	the	
1021	1528	42	14	tune	
1074	1531	48	12	were	
1132	1527	101	21	composed	
1243	1527	23	21	by	
1277	1527	37	17	him	
1326	1533	15	11	on	
1344	1528	46	16	the	
1400	1528	35	21	day	
1445	1527	18	16	of	
1473	1527	27	16	his	
1509	1525	62	18	death,	
1582	1524	42	16	with	
1635	1529	11	11	a	
1655	1526	73	17	request	
1739	1523	38	17	that	
1788	1524	44	21	they	
1841	1525	23	15	be	
1873	1524	60	21	applied	
1936	1524	37	16	to	
1983	1523	30	17	the	
2022	1521	66	20	melody	
2095	1516	40	33	and	
398	1545	101	21	published,	
508	1545	63	17	andon	
580	1546	114	22	completing	
703	1547	31	16	the	
744	1547	60	16	words	
812	1547	29	16	his	
850	1549	50	19	spirit	
909	1550	28	14	took	
940	1549	44	16	its	
993	1550	70	16	eternal	
1070	1550	52	21	flight	
1139	1552	37	14	into	
1185	1552	57	15	itsnew	
1242	1552	59	16	life.	
1329	1552	49	16	Prof,	
1388	1550	118	21	Massengale	
1513	1548	72	22	applied	
1593	1547	30	17	the	
1630	1547	59	16	words	
1698	1549	16	14	to	
1723	1547	30	16	the	
1760	1549	50	15	tune.	
1836	1547	61	16	These	
1903	1547	60	17	words	
1970	1544	121	23	composedby	
2095	1541	29	19	this	
399	1569	88	16	christian	
500	1573	50	14	man,	
565	1569	62	16	shows	
642	1570	30	16	the	
687	1570	80	21	glorious	
781	1571	35	16	and	
831	1571	111	21	triumphant	
958	1572	54	17	death	
1028	1573	18	16	of	
1057	1573	30	17	the	
1098	1574	100	21	righteous.	
1225	1575	37	17	See	
1272	1581	102	11	numerous	
1384	1574	88	18	sketches	
1481	1573	18	17	of	
1508	1572	52	17	John	
1572	1570	105	21	Massagale	
1686	1571	17	15	in	
1713	1570	53	16	other	
1776	1573	50	18	parts	
1836	1571	18	16	of	
1865	1571	35	16	this	
1909	1571	81	16	volume.	
2016	1569	33	17	We	
2056	1567	71	25	haveing)	
398	1591	69	18	further	
476	1591	43	17	data	
529	1592	55	17	about	
594	1593	34	16	Mr.	
638	1593	76	21	Sawyer	
725	1594	43	16	than	
780	1593	30	18	the	
819	1594	65	17	above.	
2112	1598	6	4	:	
