x	y	w	h	content	
0	0	2220	1785	-	
1615	1346	49	19	len	
1674	1356	6	2	-	
1690	1346	34	18	ni-	
1733	1350	32	13	um	
1774	1343	38	20	will	
1235	1385	31	16	oN	
1800	1394	9	7	h	
960	1359	18	13	re	
991	1363	7	3	-	
1011	1353	52	18	deem	
1089	1362	6	3	-	
1117	1352	22	19	ed	
1156	1352	48	18	from	
1185	1403	9	7	x	
1136	1404	9	6	»	
1704	1390	14	13	|	
1752	1396	9	6	ears	
1136	1412	14	10	ules	
1184	1411	50	15	SNEED	
1625	1397	82	24	EaNaene	
1755	1403	59	11	Nica	
831	1449	14	12	id.	
398	1524	41	19	The	
448	1524	60	18	above	
520	1525	45	17	tune	
575	1528	40	13	was	
624	1522	100	22	composed	
738	1521	25	23	by	
776	1521	84	19	William	
875	1520	87	23	Walker,	
974	1521	48	21	1831.	
350	1550	46	18	tune	
405	1547	116	22	‘“‘Heavenly	
535	1546	101	22	Armour,”	
646	1551	48	17	page	
705	1550	38	18	129.	
770	1545	43	19	Alto	
822	1544	61	19	added	
896	1544	25	22	by	
934	1543	20	19	S.	
966	1543	26	19	M.	
1004	1543	79	19	Denson,	
1087	1548	66	18	ro11.	
351	1577	55	14	verse	
415	1571	60	19	added	
486	1576	49	17	1911.	
1800	1403	131	61	—f»—*	
1235	1419	9	7	bh	
1317	1418	7	7	b	
1365	1410	25	14	Tee	
1123	1426	303	50	==	
895	1412	145	25	——	
895	1440	56	7	ee	
960	1429	81	32	en	
896	1462	15	13	a	
960	1462	15	12	a	
1008	1461	15	15	a	
1463	1460	15	11	A.	
1463	1473	9	6	Ks	
1512	1473	15	13	w	
1576	1464	48	20	wis	
1707	1508	35	19	See	
1752	1507	79	23	History	
1843	1508	20	17	of	
1877	1507	84	26	William	
1976	1506	76	20	Walker	
1095	1519	28	19	as	
1334	1518	4	9	z	
1507	1518	52	14	same	
1585	1517	35	13	page	
1631	1511	48	30	1849.	
1049	1519	36	20	See	
0	0	2220	1785	j	
1125	1519	81	19	Southern	
1217	1517	113	24	Harmony	
1351	1518	42	22	eos	
1397	1522	62	17	ybsee	
1468	1519	35	27	751,	
1572	1517	37	17	pee	
1689	1532	50	21	1832,	
1748	1531	69	18	author	
1826	1532	34	16	not	
1872	1530	65	22	given,	
1947	1531	32	21	7th	
1994	1529	70	19	Edition,	
1180	1542	41	19	The	
1230	1542	64	19	words	
1303	1547	50	13	were	
1365	1541	59	19	taken	
1433	1540	48	18	from	
1506	1536	47	19	‘‘Zion	
1563	1532	114	24	Songster,””	
