x	y	w	h	content	
784	671	20	11	or	
814	669	84	15	octaves,	
908	666	64	16	fifteen	
982	666	55	21	being	
1046	665	79	16	number	
1140	670	35	11	one	
302	692	18	16	of	
330	691	31	17	the	
368	692	47	16	third	
426	695	72	14	octave,	
510	694	112	18	twenty-two	
633	691	69	16	number	
704	695	49	11	one	
763	690	20	16	of	
790	689	30	17	the	
832	689	46	17	third	
887	692	56	13	octave	
945	692	53	13	ect.	
371	715	15	17	On	
389	715	49	17	the	
448	715	50	18	staff,	
509	718	18	13	at	
537	715	30	16	the	
574	715	102	20	beginning	
682	719	31	11	are	
721	713	65	21	placed	
795	713	97	16	characters	
895	713	77	16	called	
981	712	53	19	clefs,	
1048	710	25	20	G,	
1084	710	23	20	C,	
1118	711	35	16	and	
1163	711	13	16	F	
301	738	53	17	clefs.	
379	740	16	15	A	
404	739	76	16	clefisa	
489	739	96	16	character	
595	738	45	16	used	
651	741	17	13	to	
676	738	104	16	determine	
788	736	30	17	the	
829	741	55	12	name	
894	735	118	22	andpitchof	
1038	738	54	14	notes	
1106	740	23	11	on	
1146	734	30	17	the	
302	762	45	16	staff	
356	765	18	13	to	
380	762	46	16	which	
428	762	33	17	it	
471	764	15	14	is	
496	762	88	21	prefixed;	
371	786	27	16	The	
401	786	36	16	the	
440	786	82	16	letters	
531	790	31	12	are	
571	785	65	21	placed	
646	790	22	10	on	
680	784	18	17	the	
701	784	69	18	staff,	
779	783	101	21	according	
889	785	18	14	to	
915	783	30	16	the	
956	783	14	16	G	
980	783	43	18	clef,	
1035	782	48	16	thus:	
1491	223	163	24	Musical	
1671	223	128	24	Notes.	
1261	254	60	18	There	
1336	261	32	13	are	
1382	258	106	16	characters	
1498	259	17	15	in	
1533	260	59	14	music	
1599	259	60	16	called	
1669	261	58	15	notes;	
1738	258	31	17	the	
1784	261	54	14	notes	
1848	263	31	12	aie	
1889	256	67	23	placed	
1965	261	11	11	on	
1979	253	38	18	the	
2021	249	63	20	staff	
1212	282	36	18	and	
1257	289	32	12	are	
1298	288	155	18	representatives	
1466	287	18	16	of	
1499	288	80	15	musicai	
1588	287	69	16	sounds	
1666	292	20	11	or	
1702	289	58	16	tones,	
1771	287	37	16	and	
1817	292	31	11	are	
1856	286	65	21	placed	
1931	291	24	11	on	
1965	284	30	17	the	
2006	280	46	18	staff	
2062	283	22	12	so	
1213	314	89	25	arranged	
1311	320	21	11	as	
1341	317	18	15	to	
1369	316	54	16	make	
1433	316	30	16	the	
1473	318	43	14	tune	
1525	315	77	16	desired.	
1628	315	27	16	The	
1658	316	95	20	position	
1764	315	19	16	of	
1790	315	31	17	the	
1830	317	54	14	notes	
1892	320	23	11	on	
1924	314	30	16	thé	
1961	311	45	18	staff	
2015	307	70	19	iswhat	
1214	341	14	17	's	
1238	342	52	17	known	
1292	345	37	15	in	
1340	346	60	15	music	
1410	350	10	11	as	
1423	345	66	21	pitch	
1500	345	18	15	of	
1528	347	57	13	tones.	
1262	372	25	17	18.	
1302	372	55	18	What	
1373	378	31	12	are	
1417	373	51	17	these	
1482	376	52	13	notes	
1550	372	76	17	called?	
1651	371	49	17	Give	
1716	372	30	17	the	
1760	377	66	12	names	
1835	372	19	16	of	
1868	371	51	17	them	
1928	372	18	15	in	
1957	368	48	18	each	
2014	369	72	20	system	
1214	400	81	17	whether	
1305	401	6	17	f	
1323	407	22	11	ur	
1355	408	19	11	or	
1384	408	57	11	seven	
1451	405	53	14	notes	
1514	407	31	11	are	
1554	401	53	17	used.	
1261	429	19	17	In	
1293	430	41	17	four	
1346	431	71	17	headed	
1431	435	52	13	notes	
1497	431	42	21	they	
1553	436	31	12	are	
1597	430	63	17	called	
1674	421	87	27	Mi®,Fa	
1767	437	22	16	,	
1797	428	58	20	Sol@,	
1863	427	52	20	Lal,	
1925	428	42	16	four	
1976	428	18	15	in	
2002	425	85	17	number.	
1212	459	22	16	4n	
1243	460	64	18	round,	
1319	466	19	11	or	
1347	466	57	11	seven	
1414	461	70	20	shaped	
1494	463	58	16	notes,	
1564	460	42	17	they	
1616	465	32	11	are	
1655	459	60	17	called	
1724	459	27	16	Do	
1758	457	22	20	A,	
1791	458	42	19	Ray	
1841	456	22	20	V,	
1872	456	22	20	,	
1907	457	51	20	Fa,	
1965	456	33	16	Sol	
2004	452	82	22	@,Laé,	
1215	488	36	16	See	
1264	486	32	23	[by	
1306	488	60	23	some]	
1380	490	37	16	Tee	
1426	488	21	20	¥,	
1459	489	85	17	however	
1562	489	24	16	all	
1597	491	53	14	tones	
1665	493	35	12	can	
1717	488	24	16	be	
1754	487	68	21	played	
1834	492	20	11	or	
1864	490	49	17	sung	
1922	488	18	13	to	
1950	485	42	16	four	
2001	489	20	11	or	
2029	488	58	12	seven	
1215	519	59	17	notes,	
1283	517	82	17	whether	
1375	518	43	21	they	
1427	519	23	16	be	
1459	518	57	16	rouud	
1525	523	19	11	or	
1551	518	76	21	shaped.	
1261	546	39	17	The	
1315	547	94	22	following	
1422	548	96	20	examples	
1533	547	51	17	shows	
1585	547	49	17	the	
1643	548	78	20	position	
1732	546	18	16	of	
1766	546	31	16	the	
1804	548	54	14	notes	
1867	550	23	11	on	
1901	544	31	17	the	
1940	543	46	18	staff	
1994	542	53	18	when	
2057	542	31	17	the	
1216	576	40	15	four	
1265	575	57	21	shape	
1332	579	71	18	system	
1414	578	14	15	is	
1435	576	51	17	used.	
1500	591	5	2	_	
1425	616	84	17	TENOR	
1522	617	34	16	OR	
1568	617	97	16	TREBLE	
1680	616	76	17	STAFF.	
1758	614	45	23	(G.	
1806	614	72	22	Clef.)	
1834	643	16	18	G	
1877	644	32	17	Sol	
1924	643	25	17	&	
1959	642	61	23	Space	
2029	643	59	17	above	
1900	671	139	19	Fa—s—Fifth	
2053	671	36	18	line	
1834	709	26	16	La	
1907	706	16	17	&	
1948	707	69	18	Fourth	
2032	711	58	18	space	
1857	736	183	19	Sol—&—Fourth	
2054	736	36	18	line	
1880	768	25	16	Fa	
1929	766	16	16	&	
1968	766	57	17	Third	
2034	768	56	20	space	
1850	796	95	18	Me—®—	
1946	795	43	18	Third	
1991	796	54	17	line	
1845	827	26	16	La	
1894	826	16	16	&	
1935	825	73	17	Second	
2016	830	56	17	space	
1768	675	59	16	poe	
1824	865	214	21	—Sol—s—Second	
2055	865	36	17	line	
1849	897	25	16	Fa	
1896	901	17	16	4	
1926	896	47	16	First	
1983	900	55	16	space	
1852	926	47	16	La—&	
1901	925	82	17	First	
1984	924	51	17	line	
1847	955	32	17	Sol	
1891	956	24	17	&	
1928	955	61	20	Space	
1998	953	58	17	belew	
1269	992	39	17	The	
1318	992	14	16	C,	
1335	996	34	14	or	
1379	991	42	16	Alto	
1430	990	37	16	clef	
1476	989	61	17	shows	
1547	989	30	16	the	
1587	990	79	20	position	
1676	989	18	16	of	
1704	989	30	16	the	
1743	992	54	13	notes	
1806	994	21	11	as	
1836	989	77	17	follows:	
1859	1019	16	16	A	
1888	1019	26	16	La	
1925	1018	17	16	&	
1955	1016	60	22	Space	
2023	1017	59	17	above	
1789	1046	173	19	G——Sol—#-	
1965	1047	34	16	Fifth	
2001	1046	57	16	line	
1857	1076	26	18	Fa	
1894	1075	17	16	&	
1924	1076	68	18	Fourth	
2000	1080	56	17	space	
1855	1105	147	18	La--&Fourth	
2004	1104	55	17	line	
1849	1136	32	16	Sol	
1893	1138	24	17	@	
1941	1134	57	17	Third	
2008	1138	56	17	space	
1291	1165	448	16	a	
1746	1163	305	19	TEES	
1531	1195	13	15	B	
1905	1192	17	15	©	
1945	1193	77	18	Second	
2030	1196	56	18	space	
1231	1224	736	17	Oe	
1970	1222	94	18	comas	
1413	1253	16	17	G	
1848	1254	33	17	Sol	
1905	1254	24	17	@	
1954	1253	48	17	First	
2012	1253	52	20	spact	
1233	1286	229	16	es	
1463	1290	340	3	a	
1808	1282	226	19	eS	
1298	1323	14	16	i)	
1848	1320	25	16	La	
1896	1321	17	17	©	
1936	1319	62	21	Space	
2006	1316	59	18	below	
1297	1351	39	17	The	
1345	1351	14	16	F	
1369	1349	37	18	clef	
1415	1354	20	11	or	
1447	1349	36	15	Bass	
1485	1347	60	19	clef,	
1556	1348	15	15	is	
1579	1347	27	16	for	
1617	1347	50	17	male	
1675	1348	71	18	voices,	
1756	1348	36	16	and	
1802	1348	51	17	shows	
1855	1349	50	17	the	
1914	1351	54	14	notes	
1978	1347	53	17	thus:	
1845	1378	14	16	B	
1874	1378	31	17	Me	
1928	1375	17	16	®	
1968	1377	62	20	Space	
2041	1374	59	17	above	
1793	1408	16	15	A	
1876	1405	127	19	La——Fifth	
2011	1405	37	17	line	
1872	1436	44	17	Scle	
1930	1435	25	18	@	
1967	1433	69	19	Fourth	
2045	1438	56	16	space	
1877	1463	158	22	Fa—x—Fourth	
2043	1463	36	16	line	
1873	1501	26	17	La	
1922	1499	17	16	&	
1962	1499	56	17	Third	
2027	1503	56	17	space	
1872	1526	136	21	Sol-—Third	
2010	1528	57	17	line	
1870	1559	27	17	Fa	
1919	1558	17	17	&	
1960	1557	75	18	Second	
2047	1560	56	18	space	
1868	1585	156	19	Me—®—Second	
2027	1586	56	16	line	
1867	1617	26	17	La	
1916	1620	17	17	©	
1963	1616	48	17	First	
2023	1620	58	17	space	
1865	1643	133	20	Sol-9—First	
2000	1645	52	16	line	
