x	y	w	h	content
668	2149	59	31	dell
1197	2152	73	29	Page
1304	2152	31	25	36
1381	2141	167	41	Hendon,
1554	2146	58	37	7s.
1624	2146	25	38	.
2360	2115	62	28	118
308	2191	99	32	Come
422	2191	46	32	ye
476	2191	228	28	disconsolate
1212	2185	66	29	No.
1284	2186	55	25	195
1382	2180	94	34	Here
1486	2180	68	33	and
1567	2178	125	34	yonder
2305	2173	30	32	66
2362	2144	54	34	271
306	2230	139	31	Coming
453	2229	98	29	again
1286	2210	53	35	180
1383	2216	111	32	Home
1502	2215	86	33	over
1596	2214	126	36	yonder
2364	2179	53	35	196
2364	2215	47	37	147
